GEOID,car_access,transit_access,bike_access,walk_access,transit_car_ratio,bike_car_ratio,walk_car_ratio
48453002412,735175,1233,24179,5102,0.0016771516985751693,0.03288876798041283,0.006939844254769272
48055960500,39966,1143,1143,1146,0.02859930941300105,0.02859930941300105,0.02867437321723465
48453000500,844598,32675,236852,61782,0.03868704401383854,0.2804316372996384,0.07314959306084078
48453002307,794887,9308,122314,15907,0.011709840518212023,0.1538759597276091,0.020011649454576563
48453001805,854036,6050,74051,13193,0.007084010510095593,0.08670711773274195,0.015447826555320853
48453001501,845868,4919,104341,13201,0.005815328159949306,0.12335376205270798,0.015606453962083919
48453000901,841477,22620,217638,70453,0.02688130513371132,0.25863808517642195,0.08372540188264208
48453000802,809458,4734,161431,14673,0.005848357790027401,0.19943097727121112,0.018126944202169846
48453002212,706426,988,988,988,0.0013985895196382918,0.0013985895196382918,0.0013985895196382918
48491020602,696091,3279,5729,3395,0.004710591000314614,0.00823024575809772,0.004877235878642304
48453000305,831044,15707,124196,34409,0.018900322967255644,0.1494457573846872,0.041404546570338034
48453001823,864108,3465,71878,6452,0.004009915427238262,0.08318173191314049,0.007466659260185069
48491020327,662201,1958,6650,2601,0.0029568061661036454,0.0100422681330895,0.0039278104382204195
48453001817,857262,12952,83590,21044,0.015108566575912615,0.09750811303895425,0.024547921172290384
48453002005,791470,4054,93605,9777,0.005122114546350462,0.1182672748177442,0.012352963473031196
48453001745,819629,14164,56771,18633,0.017280989325658316,0.06926426468560776,0.022733456234467056
48453001863,826234,3972,15777,5975,0.004807354817158336,0.019095074760903087,0.0072316075107052
48453001307,738077,6150,107220,14741,0.008332463957012615,0.14526939601152725,0.019972170925255765
48453002500,832109,6332,62327,15630,0.007609579994928549,0.0749024466746544,0.018783596860507457
48453002316,823476,5759,171599,12736,0.006993525008621988,0.20838372945902492,0.015466145947180003
48021950600,6529,441,441,441,0.06754480012253025,0.06754480012253025,0.06754480012253025
48209010908,382962,1662,1662,1664,0.004339856173719586,0.004339856173719586,0.004345078623988803
48453000205,860340,17590,151147,40102,0.020445405304879465,0.17568286956319595,0.04661180463537671
48453001804,886070,12313,106327,25905,0.013896193303012177,0.11999841998939136,0.02923583915492004
48453000804,803510,12733,209257,54821,0.01584672250500927,0.26042861943224105,0.06822690445669624
48453001754,845012,12987,84222,29797,0.015369012511064931,0.09966959049102261,0.03526222112822067
48453001782,727838,437,7013,632,6.004083326234685e-4,0.009635385896312092,8.683250943204395e-4
48453001714,297558,5088,5089,5110,0.017099187385316475,0.017102548074661075,0.01717312255089764
48055960102,10687,389,389,389,0.03639936371292224,0.03639936371292224,0.03639936371292224
48021950100,127084,716,716,716,0.005634068804884958,0.005634068804884958,0.005634068804884958
48453002110,753103,888,30934,1417,0.001179121580978963,0.04107539075000365,0.0018815487390171067
48453001811,856098,3919,29542,7021,0.0045777469401867546,0.03450773159147668,0.008201163885443022
48491020113,445249,1321,4474,1801,0.0029668792069156807,0.010048310046737893,0.004044927669685951
48453000204,871035,30549,229087,41785,0.0350720694346381,0.26300550494526626,0.04797166589172651
48453001401,814722,32015,209275,72637,0.03929561249113194,0.25686675945905474,0.08915556472023586
48491020806,428784,2231,2301,2232,0.00520308593604239,0.005366338296205082,0.005205418112616143
48453002002,789369,4402,63690,8957,0.005576606124638794,0.08068469879105969,0.011347037950565578
48453002108,746185,1369,9663,1743,0.001834665666021161,0.012949871680615397,0.002335881852355649
48453001505,854876,13437,131020,26735,0.0157180690532896,0.15326199355228126,0.031273541425891005
48453001713,722645,1457,17044,3174,0.002016204360370583,0.023585577980889647,0.004392198105570508
48491020508,704655,3111,12156,5471,0.004414926453370799,0.017250995167848095,0.00776408313288063
48491020409,696064,3111,9243,3476,0.004469416605369621,0.013278951360794409,0.004993793674144906
48453980000,554116,2570,2569,2570,0.004638018032325362,0.004636213356048192,0.004638018032325362
48491020706,551636,489,2688,684,8.864541110442393e-4,0.00487277842635361,0.0012399480817060526
48055960600,2263,368,368,368,0.16261599646486966,0.16261599646486966,0.16261599646486966
48021950300,52780,3679,3679,3681,0.06970443349753695,0.06970443349753695,0.06974232663887836
48453001846,740909,1165,11904,1327,0.0015723928309684455,0.01606675043763809,0.0017910431645451735
48491020111,346214,1167,4392,2260,0.0033707475723107672,0.012685795490650291,0.0065277545102162245
48453002409,716707,1693,29585,4796,0.0023621926393909923,0.04127907220105287,0.006691716419680567
48453000203,879746,33130,197870,44196,0.03765859691319995,0.22491719200769314,0.05023722756341035
48453000401,861887,33768,195762,51761,0.03917914993496827,0.2271318629936407,0.060055436501536746
48453002419,659302,1228,21924,4522,0.0018625758756988452,0.03325334975474062,0.006858768819145096
48453000601,817852,51833,254028,85696,0.06337699241427544,0.3106038745396478,0.10478179426106435
48453002004,782493,4194,46606,7096,0.005359792355969958,0.059560916199889326,0.009068451730558612
48491020321,532071,380,9138,569,7.141903994015836e-4,0.01717439965718861,0.0010694061506828975
48453001403,835576,8648,195654,20039,0.01034974676151541,0.23415464302469194,0.023982258944727948
48453000801,811788,4093,83111,11105,0.005041956767037699,0.1023801780760494,0.013679679916431384
48453001752,864708,11006,57348,19391,0.012727996040281806,0.06632065390860267,0.022424911068245002
48491020404,759972,1800,15770,4227,0.0023685083134641805,0.02075076450185007,0.00556204702278505
48453002429,687986,210,1266,460,3.0523876939356323e-4,0.0018401537240583384,6.686182567668528e-4
48453000604,864873,32376,261798,73194,0.03743439788269492,0.3027010902178701,0.08462976645125932
48453001504,841544,6864,110138,18809,0.008156436264770469,0.13087610392326485,0.022350584164345537
48453002201,785269,2107,4892,2154,0.002683156981875001,0.006229712366080923,0.00274300908351151
48209010805,155237,1306,1301,1308,0.008412942790700671,0.008380733974503502,0.008425826317179539
48453001844,801806,7267,64462,24865,0.009063289623674555,0.08039600601641794,0.031011242120912042
48453002427,733487,1141,8826,1631,0.0015555831255359672,0.012032933099018796,0.002223624958588223
48209010909,235480,565,1080,569,0.0023993545099371496,0.004586376762357737,0.0024163410905384745
48453001829,814819,2037,46798,5116,0.00249994170484488,0.05743361409098217,0.006278695023066472
48453001853,787052,3088,18530,8215,0.003923501877893709,0.023543552395521517,0.010437683914150526
48453002318,660865,1319,29122,1481,0.0019958690504112034,0.044066488617191105,0.0022410023227134135
48491021203,65818,2108,2122,2110,0.03202771278373697,0.03224042055364794,0.03205809960800997
